nohup: ignoring input
Disabling PyTorch because PyTorch >= 2.4 is required but found 2.2.2
PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
Loaded Phase 2 checkpoint — Dev AUC 0.9912  Dev Acc 0.9530
All 59 param groups unfrozen for Phase 3

=================================================================
  AudioGuard RawNet3-FSAT — Phase 3 Adversarial Training
=================================================================
Device  : cuda  |  AMP: True
FGSM ε=0.005  PGD ε=0.005/3-step  F-SAT ε=0.01  adv_ratio=0.4

Scanning data (cap 80k orig, all hard)...
  for_dataset                                   real= 84,756  fake= 84,980
  realvsfake_voice                              real=     20  fake=     60
  wavefake                                      real= 13,100  fake=134,266
Mixed   : 80,000 total samples (for_dataset + realvsfake_voice + wavefake)
Split   : Train 64,002 | Dev 7,999 | Eval 7,999

=================================================================
  Training
=================================================================
  Ep3 step 100/2667 | loss 0.0361 (clean 0.0256 adv 0.1048)
  Ep3 step 150/2667 | loss 0.0491 (clean 0.0292 adv 0.1990)
  Ep3 step 200/2667 | loss 0.0728 (clean 0.0401 adv 0.3273)
  Ep3 step 250/2667 | loss 0.0297 (clean 0.0189 adv 0.1074)
  Ep3 step 300/2667 | loss 0.1043 (clean 0.0695 adv 0.3485)
  Ep3 step 350/2667 | loss 0.0629 (clean 0.0422 adv 0.2075)
  Ep3 step 400/2667 | loss 0.0703 (clean 0.0366 adv 0.3370)
  Ep3 step 450/2667 | loss 0.1150 (clean 0.0859 adv 0.2916)
  Ep3 step 500/2667 | loss 0.0114 (clean 0.0073 adv 0.0403)
  Ep3 step 550/2667 | loss 0.0301 (clean 0.0218 adv 0.0838)
  Ep3 step 600/2667 | loss 0.0544 (clean 0.0457 adv 0.0872)
  Ep3 step 650/2667 | loss 0.0531 (clean 0.0253 adv 0.2782)
  Ep3 step 700/2667 | loss 0.0612 (clean 0.0399 adv 0.2133)
  Ep3 step 750/2667 | loss 0.0395 (clean 0.0265 adv 0.1298)
  Ep3 step 800/2667 | loss 0.0581 (clean 0.0338 adv 0.2427)
  Ep3 step 850/2667 | loss 0.0841 (clean 0.0518 adv 0.3230)
  Ep3 step 900/2667 | loss 0.0223 (clean 0.0140 adv 0.0826)
  Ep3 step 950/2667 | loss 0.0447 (clean 0.0340 adv 0.1071)
  Ep3 step 1000/2667 | loss 0.1710 (clean 0.1471 adv 0.2389)
  Ep3 step 1050/2667 | loss 0.0430 (clean 0.0206 adv 0.2236)
  Ep3 step 1100/2667 | loss 0.0192 (clean 0.0165 adv 0.0278)
  Ep3 step 1150/2667 | loss 0.0544 (clean 0.0365 adv 0.1788)
  Ep3 step 1200/2667 | loss 0.0431 (clean 0.0246 adv 0.1851)
  Ep3 step 1250/2667 | loss 0.0993 (clean 0.0756 adv 0.2366)
  Ep3 step 1300/2667 | loss 0.0981 (clean 0.0678 adv 0.3029)
  Ep3 step 1350/2667 | loss 0.0327 (clean 0.0198 adv 0.1292)
  Ep3 step 1400/2667 | loss 0.0401 (clean 0.0327 adv 0.0745)
  Ep3 step 1450/2667 | loss 0.0736 (clean 0.0472 adv 0.2633)
  Ep3 step 1500/2667 | loss 0.0577 (clean 0.0311 adv 0.2664)
  Ep3 step 1550/2667 | loss 0.0505 (clean 0.0328 adv 0.1777)
  Ep3 step 1600/2667 | loss 0.0877 (clean 0.0747 adv 0.1304)
  Ep3 step 1650/2667 | loss 0.0342 (clean 0.0214 adv 0.1280)
  Ep3 step 1700/2667 | loss 0.0417 (clean 0.0287 adv 0.1299)
  Ep3 step 1750/2667 | loss 0.0383 (clean 0.0246 adv 0.1368)
  Ep3 step 1800/2667 | loss 0.1147 (clean 0.0875 adv 0.2714)
  Ep3 step 1850/2667 | loss 0.0690 (clean 0.0473 adv 0.2174)
  Ep3 step 1900/2667 | loss 0.0811 (clean 0.0488 adv 0.3233)
  Ep3 step 1950/2667 | loss 0.0386 (clean 0.0277 adv 0.1097)
  Ep3 step 2000/2667 | loss 0.0495 (clean 0.0425 adv 0.0695)
  Ep3 step 2050/2667 | loss 0.0443 (clean 0.0243 adv 0.2000)
  Ep3 step 2100/2667 | loss 0.0721 (clean 0.0584 adv 0.1365)
  Ep3 step 2150/2667 | loss 0.0396 (clean 0.0217 adv 0.1794)
  Ep3 step 2200/2667 | loss 0.1024 (clean 0.0796 adv 0.2283)
  Ep3 step 2250/2667 | loss 0.0636 (clean 0.0425 adv 0.2104)
  Ep3 step 2300/2667 | loss 0.0274 (clean 0.0139 adv 0.1357)
  Ep3 step 2350/2667 | loss 0.0390 (clean 0.0189 adv 0.2013)
  Ep3 step 2400/2667 | loss 0.0513 (clean 0.0354 adv 0.1588)
  Ep3 step 2450/2667 | loss 0.1083 (clean 0.0867 adv 0.2165)
  Ep3 step 2500/2667 | loss 0.0209 (clean 0.0126 adv 0.0828)
  Ep3 step 2550/2667 | loss 0.0260 (clean 0.0212 adv 0.0470)
  Ep3 step 2600/2667 | loss 0.0726 (clean 0.0569 adv 0.1565)
  Ep3 step 2650/2667 | loss 0.1189 (clean 0.0949 adv 0.2406)
Ep 03/6 | Loss 0.0604 | AUC 0.9834 | Acc 0.9204 | F1 0.9404
  Ep4 step 50/2667 | loss 0.0350 (clean 0.0185 adv 0.1647)
  Ep4 step 100/2667 | loss 0.0317 (clean 0.0236 adv 0.0809)
  Ep4 step 150/2667 | loss 0.0467 (clean 0.0314 adv 0.1530)
  Ep4 step 200/2667 | loss 0.0527 (clean 0.0407 adv 0.1200)
  Ep4 step 250/2667 | loss 0.0451 (clean 0.0192 adv 0.2589)
  Ep4 step 300/2667 | loss 0.0496 (clean 0.0338 adv 0.1574)
  Ep4 step 350/2667 | loss 0.0756 (clean 0.0608 adv 0.1478)
  Ep4 step 400/2667 | loss 0.0308 (clean 0.0249 adv 0.0590)
  Ep4 step 450/2667 | loss 0.0707 (clean 0.0521 adv 0.1861)
  Ep4 step 500/2667 | loss 0.0488 (clean 0.0310 adv 0.1784)
  Ep4 step 550/2667 | loss 0.0927 (clean 0.0668 adv 0.2586)
  Ep4 step 600/2667 | loss 0.0506 (clean 0.0332 adv 0.1736)
  Ep4 step 650/2667 | loss 0.0539 (clean 0.0394 adv 0.1447)
  Ep4 step 700/2667 | loss 0.0471 (clean 0.0308 adv 0.1629)
  Ep4 step 750/2667 | loss 0.0645 (clean 0.0473 adv 0.1718)
  Ep4 step 800/2667 | loss 0.0232 (clean 0.0129 adv 0.1027)
  Ep4 step 850/2667 | loss 0.0260 (clean 0.0137 adv 0.1229)
  Ep4 step 900/2667 | loss 0.0338 (clean 0.0243 adv 0.0946)
  Ep4 step 950/2667 | loss 0.0843 (clean 0.0644 adv 0.1985)
  Ep4 step 1000/2667 | loss 0.0176 (clean 0.0115 adv 0.0606)
  Ep4 step 1050/2667 | loss 0.0277 (clean 0.0149 adv 0.1275)
  Ep4 step 1100/2667 | loss 0.0876 (clean 0.0613 adv 0.2631)
  Ep4 step 1150/2667 | loss 0.0594 (clean 0.0427 adv 0.1667)
  Ep4 step 1200/2667 | loss 0.0357 (clean 0.0226 adv 0.1309)
  Ep4 step 1250/2667 | loss 0.0524 (clean 0.0289 adv 0.2355)
  Ep4 step 1300/2667 | loss 0.0329 (clean 0.0220 adv 0.1094)
  Ep4 step 1350/2667 | loss 0.0413 (clean 0.0209 adv 0.2037)
  Ep4 step 1400/2667 | loss 0.0485 (clean 0.0280 adv 0.2051)
  Ep4 step 1450/2667 | loss 0.0497 (clean 0.0313 adv 0.1841)
  Ep4 step 1500/2667 | loss 0.0368 (clean 0.0246 adv 0.1225)
  Ep4 step 1550/2667 | loss 0.0353 (clean 0.0263 adv 0.0905)
  Ep4 step 1600/2667 | loss 0.0561 (clean 0.0439 adv 0.1222)
  Ep4 step 1650/2667 | loss 0.0260 (clean 0.0185 adv 0.0745)
  Ep4 step 1700/2667 | loss 0.0261 (clean 0.0156 adv 0.1054)
  Ep4 step 1750/2667 | loss 0.0586 (clean 0.0424 adv 0.1617)
  Ep4 step 1800/2667 | loss 0.0357 (clean 0.0256 adv 0.1009)
  Ep4 step 1850/2667 | loss 0.0403 (clean 0.0284 adv 0.1188)
  Ep4 step 1900/2667 | loss 0.0642 (clean 0.0496 adv 0.1465)
  Ep4 step 1950/2667 | loss 0.0670 (clean 0.0595 adv 0.0754)
  Ep4 step 2000/2667 | loss 0.0333 (clean 0.0201 adv 0.1317)
  Ep4 step 2050/2667 | loss 0.0432 (clean 0.0269 adv 0.1633)
  Ep4 step 2100/2667 | loss 0.0725 (clean 0.0454 adv 0.2710)
  Ep4 step 2150/2667 | loss 0.0292 (clean 0.0217 adv 0.0754)
